,Medián_Pb,Medián_Pb,Medián_Pb,Medián_Pb,Medián_Zn,Medián_Zn,Medián_Zn,Medián_Zn,Medián_Cu,Medián_Cu,Medián_Cu,Medián_Cu,Medián_As,Medián_As,Medián_As,Medián_As
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
class_name,,,,,,,,,,,,,,,,
Arable land (annual crops),21.679576608999998,8.579298019,41.02763587543133,9,104.88498008888888,73.82167053,95.1650366961818,9,226.88869699666668,50.40234756,233.65092006187024,9,11.455679468333333,10.07366848,4.252699068434397,9
Construction sites,27.02995682,27.02995682,,1,69.83319092,69.83319092,,1,24.10173607,24.10173607,,1,9.753623962,9.753623962,,1
Continuous urban fabric (S.L. : > 80%),43.936539475277776,30.03517914,39.90078822588901,54,153.76883603444443,128.38104245,78.3521106308564,54,93.63837945351851,45.142223355,123.7989185454849,54,13.787477971574074,12.36853409,4.145423901362765,54
Discontinuous dense urban fabric (S.L. : 50% -  80%),31.79528526990323,15.91762829,37.32544544909542,31,122.53595074419354,95.57017517,89.03846036758652,31,33.02356847425806,28.02104187,19.69334307819552,31,12.487301215709678,10.91014957,3.889308799200159,31
Forests,24.126782581428575,10.25662899,31.15542473820455,7,82.34616742285714,69.605,38.19638033064509,7,27.314948838571432,22.45150375,13.122228768666032,7,11.713804772857143,10.26278591,3.276844821152286,7
Green urban areas,26.555779618999996,27.52,21.334725834121198,7,151.54905760857145,102.57,98.27384295965072,7,65.85761411714286,35.85965347,83.2663406248543,7,11.945969260142856,12.05212688,2.158459523015925,7
"Herbaceous vegetation associations (natural grassland, moors...)",146.0506897,146.0506897,,1,42.81689453,42.81689453,,1,685.7639771,685.7639771,,1,24.63569641,24.63569641,,1
"Industrial, commercial, public, military and private units",38.95944789061539,26.15634632,41.60198169313653,26,145.33642093653845,115.5125618,73.95061609770865,26,165.88530700365385,49.26781082,258.51349638418617,26,14.417070994499998,12.226696015,6.0388331395404995,26
Other roads and associated land,34.72472133789999,27.65895605,30.11963099324084,10,129.96891060800002,91.769817355,73.82572193581471,10,38.056527233,33.38430023,13.664612796961446,10,12.8391449446,12.1030426,3.1276854689662175,10
Pastures,15.407840978,8.92874527,14.051742661396752,7,149.49484949714287,90.45,125.4069149334864,7,101.16235590285714,32.04348755,117.71186226981848,7,11.044558536142857,11.07017136,1.329778963512872,7
"Permanent crops (vineyards, fruit trees, olive groves)",0.122742988,0.122742988,,1,36.42027283,36.42027283,,1,13.99405193,13.99405193,,1,7.615145206,7.615145206,,1
Railways and associated land,39.330398658,39.330398658,55.34915648288027,2,127.9295273,127.9295273,60.13050013274134,2,194.52149962500002,194.52149962500002,212.42108755194272,2,13.317756651500002,13.317756651500002,5.811941163403717,2
Sports and leisure facilities,48.655,48.655,9.835855326304873,2,114.35,114.35,49.53990108992952,2,34.364999999999995,34.364999999999995,12.02788634798317,2,14.275,14.275,0.9970205614730321,2
